Ac,Ro,AS,MS
110000,10000,2100,10500
Fe,Ex,Pr,Le,Va,Co
1.0,1.0,0.001,1000000,10000000,0.01
10.0,1.0,0.001,1000000,10000000,0.01
1.0,2.0,0.001,1000000,10000000,0.01
10.0,2.0,0.001,1000000,10000000,0.01
1.0,4.0,0.001,1000000,10000000,0.01
10.0,4.0,0.001,1000000,10000000,0.01
1.0,1.0,0.01,1000000,10000000,0.01
10.0,1.0,0.01,1000000,10000000,0.01
1.0,2.0,0.01,1000000,10000000,0.01
10.0,2.0,0.01,1000000,10000000,0.01
1.0,4.0,0.01,1000000,10000000,0.01
10.0,4.0,0.01,1000000,10000000,0.01
1.0,1.0,0.001,1000000,1000000,0.01
10.0,1.0,0.001,1000000,1000000,0.01
1.0,2.0,0.001,1000000,1000000,0.01
10.0,2.0,0.001,1000000,1000000,0.01
1.0,4.0,0.001,1000000,1000000,0.01
10.0,4.0,0.001,1000000,1000000,0.01
1.0,1.0,0.01,1000000,1000000,0.01
10.0,1.0,0.01,1000000,1000000,0.01
1.0,2.0,0.01,1000000,1000000,0.01
10.0,2.0,0.01,1000000,1000000,0.01
1.0,4.0,0.01,1000000,1000000,0.01
10.0,4.0,0.01,1000000,1000000,0.01
1.0,1.0,0.001,10000000,10000000,0.01
10.0,1.0,0.001,10000000,10000000,0.01
1.0,2.0,0.001,10000000,10000000,0.01
10.0,2.0,0.001,10000000,10000000,0.01
1.0,4.0,0.001,10000000,10000000,0.01
10.0,4.0,0.001,10000000,10000000,0.01
1.0,1.0,0.01,10000000,10000000,0.01
10.0,1.0,0.01,10000000,10000000,0.01
1.0,2.0,0.01,10000000,10000000,0.01
10.0,2.0,0.01,10000000,10000000,0.01
1.0,4.0,0.01,10000000,10000000,0.01
10.0,4.0,0.01,10000000,10000000,0.01
1.0,1.0,0.001,10000000,1000000,0.01
10.0,1.0,0.001,10000000,1000000,0.01
1.0,2.0,0.001,10000000,1000000,0.01
10.0,2.0,0.001,10000000,1000000,0.01
1.0,4.0,0.001,10000000,1000000,0.01
10.0,4.0,0.001,10000000,1000000,0.01
1.0,1.0,0.01,10000000,1000000,0.01
10.0,1.0,0.01,10000000,1000000,0.01
1.0,2.0,0.01,10000000,1000000,0.01
10.0,2.0,0.01,10000000,1000000,0.01
1.0,4.0,0.01,10000000,1000000,0.01
10.0,4.0,0.01,10000000,1000000,0.01
1.0,1.0,0.001,100000000,10000000,0.01
10.0,1.0,0.001,100000000,10000000,0.01
1.0,2.0,0.001,100000000,10000000,0.01
10.0,2.0,0.001,100000000,10000000,0.01
1.0,4.0,0.001,100000000,10000000,0.01
10.0,4.0,0.001,100000000,10000000,0.01
1.0,1.0,0.01,100000000,10000000,0.01
10.0,1.0,0.01,100000000,10000000,0.01
1.0,2.0,0.01,100000000,10000000,0.01
10.0,2.0,0.01,100000000,10000000,0.01
1.0,4.0,0.01,100000000,10000000,0.01
10.0,4.0,0.01,100000000,10000000,0.01
1.0,1.0,0.001,100000000,1000000,0.01
10.0,1.0,0.001,100000000,1000000,0.01
1.0,2.0,0.001,100000000,1000000,0.01
10.0,2.0,0.001,100000000,1000000,0.01
1.0,4.0,0.001,100000000,1000000,0.01
10.0,4.0,0.001,100000000,1000000,0.01
1.0,1.0,0.01,100000000,1000000,0.01
10.0,1.0,0.01,100000000,1000000,0.01
1.0,2.0,0.01,100000000,1000000,0.01
10.0,2.0,0.01,100000000,1000000,0.01
1.0,4.0,0.01,100000000,1000000,0.01
10.0,4.0,0.01,100000000,1000000,0.01
1.0,1.0,0.001,1000000000,10000000,0.01
10.0,1.0,0.001,1000000000,10000000,0.01
1.0,2.0,0.001,1000000000,10000000,0.01
10.0,2.0,0.001,1000000000,10000000,0.01
1.0,4.0,0.001,1000000000,10000000,0.01
10.0,4.0,0.001,1000000000,10000000,0.01
1.0,1.0,0.01,1000000000,10000000,0.01
10.0,1.0,0.01,1000000000,10000000,0.01
1.0,2.0,0.01,1000000000,10000000,0.01
10.0,2.0,0.01,1000000000,10000000,0.01
1.0,4.0,0.01,1000000000,10000000,0.01
10.0,4.0,0.01,1000000000,10000000,0.01
1.0,1.0,0.001,1000000000,1000000,0.01
1.0,2.0,0.001,1000000000,1000000,0.01
1.0,4.0,0.001,1000000000,1000000,0.01
1.0,1.0,0.01,1000000000,1000000,0.01
1.0,2.0,0.01,1000000000,1000000,0.01
1.0,4.0,0.01,1000000000,1000000,0.01
1.0,1.0,0.001,10000000000,10000000,0.01
1.0,2.0,0.001,10000000000,10000000,0.01
1.0,4.0,0.001,10000000000,10000000,0.01
1.0,1.0,0.01,10000000000,10000000,0.01
1.0,2.0,0.01,10000000000,10000000,0.01
1.0,4.0,0.01,10000000000,10000000,0.01
1.0,1.0,0.001,100000000000,20000000,0.01
1.0,2.0,0.001,100000000000,20000000,0.01
1.0,4.0,0.001,100000000000,20000000,0.01
1.0,1.0,0.01,100000000000,20000000,0.01
1.0,2.0,0.01,100000000000,20000000,0.01
1.0,4.0,0.01,100000000000,20000000,0.01
