Timeout-Tree (TT) analysis
""
Ac,Ro,AS,MS
active,rollover,ave size,max size
period,period,of txs,of txs
(blocks),(blocks),(vbytes),(vbytes)
110000,10000,2100,10500
""
Fe,Ex,Pr,Le,Va,Co,FractionTTLeaves,SecurityDelayBlocks,SecurityDelayYears,CapitalCost,CapitalEfficiency,OnchainFee,OnchainFeeFraction,ExpectedOnchainFee,ExpectedOverheadFraction
feerate,feerate,prob,leaves,value of all,cost of,fraction of block,delay for putting,delay for putting,capital cost,fraction of funder's,max fee,max fee per,expected fee per,capital cost plus
base,exponent,TT put,across all TTs,leaves put together,capital,space devoted to,leaves onchain,leaves onchain,per leaf,funds used by,per onchain leaf,onchain leaf as fraction,leaf,expected fee per leaf as
(sats/vbyte),,onchain,,(BTC),,leaves,(blocks),(years),(sats),casual user,(sats),of casual user's funds,(sats),fraction of casual user's funds
1.0,1.0,0.001,1000000,10000000,0.1,0.9985516387975146,526,0.010000760514107537,1000076.0514107536,0.6084440978156856,7249572.815111399,0.010874359222667098,1449.9145630222797,0.001502288948960664
10.0,1.0,0.001,1000000,10000000,0.1,0.995434178777558,528,0.01003878621948437,1003878.6219484372,0.6084340015044913,22996958.243547235,0.034495437365320854,4599.3916487094475,0.00151271702039572
1.0,2.0,0.001,1000000,10000000,0.1,0.9840282460505771,534,0.010152863335614876,1015286.3335614876,0.6084037145812247,41160825.56490328,0.061741238347354926,8232.165112980656,0.0015352777480117025
10.0,2.0,0.001,1000000,10000000,0.1,0.9660112119347828,544,0.010342991862499049,1034299.1862499049,0.6083532430758339,90890384.47637685,0.13633557671456528,18178.076895275368,0.0015787158947177704
1.0,4.0,0.001,1000000,10000000,0.1,0.9070874862386491,579,0.011008441706593658,1100844.1706593658,0.6081766587327256,140893986.8764796,0.2113409803147194,28178.797375295922,0.0016935344520519929
10.0,4.0,0.001,1000000,10000000,0.1,0.8561113177622165,614,0.011673891550688265,1167389.1550688266,0.6080001768727787,244952997.36737382,0.36742949605106073,48990.599473474766,0.0018245696318134523
1.0,1.0,0.01,1000000,10000000,0.1,0.9954341787775589,528,0.01003878621948437,1003878.6219484372,0.6084340015044913,2299695.824355171,0.003449543736532757,4599.391648710342,0.0015127170203957214
10.0,1.0,0.01,1000000,10000000,0.1,0.9857027561349905,533,0.010133850482926459,1013385.0482926458,0.6084087621923733,7344072.8151089735,0.01101610922266346,14688.145630217949,0.0015421097908842958
1.0,2.0,0.01,1000000,10000000,0.1,0.9660112119347826,544,0.010342991862499049,1034299.1862499049,0.6083532430758339,9089038.447637564,0.013633557671456346,18178.076895275128,0.00157871589471777
10.0,2.0,0.01,1000000,10000000,0.1,0.9286726631614768,566,0.010761274621644232,1076127.4621644232,0.6082422352349197,20638459.671750642,0.030957689507625966,41276.919343501286,0.0016761065722618869
1.0,4.0,0.01,1000000,10000000,0.1,0.8561113177622162,614,0.011673891550688265,1167389.1550688266,0.6080001768727787,24495299.73673716,0.03674294960510574,48990.599473474314,0.0018245696318134514
10.0,4.0,0.01,1000000,10000000,0.1,0.7802594738386278,673,0.01279564985930489,1279564.985930489,0.6077029106207132,45034843.589169346,0.06755226538375403,90069.68717833869,0.0020544520096632416
